topic_id,top_words
0,"0.215*""gel"" + 0.143*""numara"" + 0.067*""küçük"" + 0.062*""kız"" + 0.061*""sorun"" + 0.061*""ulaş"" + 0.049*""sağlam"" + 0.042*""tat"" + 0.021*""paket"" + 0.016*""hafif"" + 0.011*""kırık"" + 0.009*""kış"" + 0.009*""meyve"" + 0.009*""çabuk"" + 0.008*""tatlı"""
1,"0.096*""indirim"" + 0.034*""iste"" + 0.033*""koku"" + 0.027*""ev"" + 0.025*""tane"" + 0.024*""düşün"" + 0.020*""zaman"" + 0.019*""süper"" + 0.017*""pratik"" + 0.017*""hemen"" + 0.017*""ilk"" + 0.016*""muhteşem"" + 0.016*""dene"" + 0.015*""güç"" + 0.015*""stok"""
2,"0.184*""güzel"" + 0.143*""ürün"" + 0.085*""kullan"" + 0.066*""kalite"" + 0.064*""beğen"" + 0.063*""teşekkür"" + 0.054*""gayet"" + 0.045*""tavsiye"" + 0.044*""paketle"" + 0.029*""hediye"" + 0.024*""dur"" + 0.018*""çeyiz"" + 0.018*""gerçekten"" + 0.015*""rahat"" + 0.011*""aşırı"""
3,"0.144*""hız"" + 0.122*""kargo"" + 0.074*""şık"" + 0.063*""ayak"" + 0.063*""nan"" + 0.062*""özen"" + 0.028*""bebek"" + 0.028*""teslimat"" + 0.025*""sık"" + 0.021*""satıcı"" + 0.020*""gönder"" + 0.018*""güven"" + 0.017*""teslim"" + 0.017*""ince"" + 0.014*""sat"""
4,"0.154*""iyi"" + 0.103*""fiyat"" + 0.048*""gözlük"" + 0.036*""ses"" + 0.033*""kutu"" + 0.033*""uygun"" + 0.030*""gün"" + 0.030*""bekle"" + 0.027*""performans"" + 0.024*""yorum"" + 0.017*""sadece"" + 0.016*""kötü"" + 0.015*""iade"" + 0.014*""git"" + 0.012*""bak"""
5,"0.145*""sev"" + 0.084*""büyük"" + 0.063*""alın"" + 0.063*""çocuk"" + 0.056*""beden"" + 0.056*""giy"" + 0.040*""rahat"" + 0.024*""normal"" + 0.023*""kalın"" + 0.022*""kalıp"" + 0.015*""tüket"" + 0.015*""çorap"" + 0.015*""kısım"" + 0.013*""yağ"" + 0.013*""tercih"""
6,"0.169*""harika"" + 0.075*""mükemmel"" + 0.072*""bayıl"" + 0.058*""tek"" + 0.047*""çizme"" + 0.026*""kelime"" + 0.026*""kesinlikle"" + 0.024*""tak"" + 0.016*""öner"" + 0.016*""efsane"" + 0.014*""etki"" + 0.013*""spor"" + 0.011*""stokla"" + 0.011*""ali"" + 0.009*""devam"""
7,"0.172*""memnun"" + 0.104*""kal"" + 0.093*""ver"" + 0.066*""anne"" + 0.064*""oğul"" + 0.053*""sipariş"" + 0.047*""aldi"" + 0.033*""uzun"" + 0.029*""süre"" + 0.025*""beğendi"" + 0.018*""tekrar"" + 0.017*""um"" + 0.015*""kısa"" + 0.013*""yıl"" + 0.013*""ikinci"""
